"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.2332,-0.0083942,0,1,0.087988,0.5,0.093673,0.5
-0.23524,-0.008415,0,1,0.088977,0.5,0.094661,0.5
-0.23729,-0.0084357,0,1,0.089965,0.5,0.09565,0.5
-0.23933,-0.0084565,0,1,0.090954,0.5,0.096639,0.5
-0.24137,-0.0084772,0,1,0.091943,0.5,0.097627,0.5
-0.24342,-0.008498,0,1,0.092931,0.5,0.098616,0.5
-0.24546,-0.0085187,0,1,0.09392,0.5,0.099604,0.5
-0.2475,-0.0085395,0,1,0.094909,0.5,0.10059,0.5
-0.24955,-0.0085603,0,1,0.095897,0.5,0.10158,0.5
-0.25159,-0.008581,0,1,0.096886,0.5,0.10257,0.5
-0.25357,-0.0085896,0,1,0.097874,0.5,0.10356,0.5
-0.25536,-0.0085594,0,1,0.098863,0.5,0.10455,0.5
-0.25715,-0.0085293,0,1,0.099852,0.5,0.10554,0.5
-0.25894,-0.0084991,0,1,0.10084,0.5,0.10652,0.5
-0.26073,-0.0084689,0,1,0.10183,0.5,0.10751,0.5
-0.26251,-0.0084387,0,1,0.10282,0.5,0.1085,0.5
-0.2643,-0.0084086,0,1,0.10381,0.5,0.10949,0.5
-0.26609,-0.0083784,0,1,0.10479,0.5,0.11048,0.5
-0.26788,-0.0083482,0,1,0.10578,0.5,0.11147,0.5
-0.26967,-0.008318,0,1,0.10677,0.5,0.11246,0.5
-0.27145,-0.0082879,0,1,0.10776,0.5,0.11345,0.5
-0.27324,-0.0082577,0,1,0.10875,0.5,0.11443,0.5
-0.27503,-0.0082275,0,1,0.10974,0.5,0.11542,0.5
-0.27682,-0.0081973,0,1,0.11073,0.5,0.11641,0.5
-0.27861,-0.0081671,0,1,0.11172,0.5,0.1174,0.5
-0.2804,-0.008137,0,1,0.1127,0.5,0.11839,0.5
-0.28218,-0.0081068,0,1,0.11369,0.5,0.11938,0.5
-0.28397,-0.0080766,0,1,0.11468,0.5,0.12037,0.5
-0.28537,-0.0079943,0,1,0.11567,0.5,0.12135,0.5
-0.28677,-0.0079103,0,1,0.11666,0.5,0.12234,0.5
-0.28816,-0.0078264,0,1,0.11765,0.5,0.12333,0.5
-0.28955,-0.0077424,0,1,0.11864,0.5,0.12432,0.5
-0.29094,-0.0076585,0,1,0.11962,0.5,0.12531,0.5
-0.29233,-0.0075745,0,1,0.12061,0.5,0.1263,0.5
-0.29372,-0.0074906,0,1,0.1216,0.5,0.12729,0.5
-0.29512,-0.0074066,0,1,0.12259,0.5,0.12827,0.5
-0.29651,-0.0073227,0,1,0.12358,0.5,0.12926,0.5
-0.2979,-0.0072387,0,1,0.12457,0.5,0.13025,0.5
-0.29929,-0.0071548,0,1,0.12556,0.5,0.13124,0.5
-0.30068,-0.0070708,0,1,0.12654,0.5,0.13223,0.5
-0.30207,-0.0069869,0,1,0.12753,0.5,0.13322,0.5
-0.30346,-0.0069029,0,1,0.12852,0.5,0.13421,0.5
-0.30486,-0.006819,0,1,0.12951,0.5,0.1352,0.5
-0.30625,-0.006735,0,1,0.1305,0.5,0.13618,0.5
-0.30764,-0.0066511,0,1,0.13149,0.5,0.13717,0.5
-0.30903,-0.0065671,0,1,0.13248,0.5,0.13816,0.5
-0.30996,-0.0064465,0,1,0.13347,0.5,0.13915,0.5
-0.31083,-0.0063211,0,1,0.13445,0.5,0.14014,0.5
-0.31169,-0.0061957,0,1,0.13544,0.5,0.14113,0.5
-0.31256,-0.0060703,0,1,0.13643,0.5,0.14212,0.5
-0.31343,-0.005945,0,1,0.13742,0.5,0.1431,0.5
-0.31429,-0.0058196,0,1,0.13841,0.5,0.14409,0.5
-0.31516,-0.0056942,0,1,0.1394,0.5,0.14508,0.5
-0.31603,-0.0055688,0,1,0.14039,0.5,0.14607,0.5
-0.31689,-0.0054434,0,1,0.14137,0.5,0.14706,0.5
-0.31776,-0.005318,0,1,0.14236,0.5,0.14805,0.5
-0.31863,-0.0051926,0,1,0.14335,0.5,0.14904,0.5
